47	2	0	1	-2	1	1	0	0	0	2	0.00103	0.00103	0.00103	~	0.00103	0.001025	-0.000001	0.001030
48	2	0	1	-2	1	2	0	0	0	0	0.00000	0.00000	0.00000	~	0.00000	0.000010	0.000000	0.000000
49	3	0	1	-2	2	0	0	0	0	-1	0.00000	0.00000	0.00000	~	0.00000	0.000007	0.000000	0.000000
50	2	0	1	-1	-1	-1	1	0	0	2	0.00000	0.00000	0.00000	~	0.00000	0.000046	0.000000	0.000040
51	2	0	1	-1	-1	0	1	0	0	0	0.00052	0.00052	0.00052	~	0.00051	0.000507	0.000000	0.000510
52	2	0	1	-1	-1	1	1	0	0	2	0.00000	0.00000	0.00000	~	0.00000	0.000027	0.000000	0.000000
53	2	0	1	-1	0	-1	0	0	0	0	0.00000	0.00000	0.00000	~	0.00000	0.000033	0.000000	0.000000
54	2	0	1	-1	0	0	0	0	0	2	0.00047	0.00047	0.00047	~	0.00044	0.000458	0.000001	0.000440
55	3	0	1	-1	0	0	1	0	0	-1	0.00000	0.00000	0.00000	~	0.00000	0.000006	0.000000	0.000000
56	2	0	1	-1	0	1	0	0	0	0	0.00000	0.00000	0.00000	~	0.00000	0.000032	0.000000	0.000000
57	2	0	1	-1	1	0	-1	0	0	2	0.00012	0.00012	0.00012	~	0.00010	0.000109	0.000000	0.000110
58	3	0	1	0	-2	0	0	0	0	1	0.00000	0.00000	0.00000	~	0.00000	0.000019	0.000000	0.000018
59	2	0	1	0	-1	-2	0	0	0	0	0.00007	0.00007	0.00007	~	0.00000	0.000068	0.000000	0.000070
60	2	0	1	0	-1	-1	0	0	0	2	0.00542	0.00542	0.00542	~	0.00542	0.005419	-0.000003	0.005420
61	4	0	1	0	-1	-1	0	0	0	2	0.00000	0.00000	0.00000	~	0.00000	0.000004	0.000000	0.000000
62	2	0	1	0	-1	0	0	0	0	0	0.08254	0.08256	0.08256	MM	0.08254	0.082569	0.000027	0.082560
63	4	0	1	0	-1	0	0	0	0	0	0.00000	0.00000	0.00000	~	0.00000	0.000012	0.000000	0.000000
64	2	0	1	0	-1	1	0	0	0	2	0.00535	0.00535	0.00537	~	0.00535	0.005358	-0.000007	0.005360
65	4	0	1	0	-1	1	0	0	0	2	0.00000	0.00000	0.00000	~	0.00000	0.000004	0.000000	0.000000
66	3	0	1	0	0	-1	0	0	0	1	0.00024	0.00025	0.00024	~	0.00024	0.000241	0.000000	0.000241
67	2	0	1	0	-1	2	0	0	0	0	0.00000	0.00000	0.00000	~	0.00000	0.000052	0.000000	0.000000
68	2	0	1	0	0	0	-1	0	0	0	0.00000	0.00000	0.00000	~	0.00000	0.000068	0.000000	0.000110
69	3	0	1	0	0	0	0	0	0	-1	0.00466	0.00466	0.00466	~	0.00466	0.004660	-0.000001	0.004655
70	3	0	1	0	0	1	0	0	0	-1	0.00073	0.00073	0.00073	~	0.00073	0.000735	0.000000	0.000736
71	3	0	1	0	0	2	0	0	0	1	0.00006	0.00006	0.00006	~	0.00000	0.000057	0.000000	0.000060
72	2	0	1	0	1	0	0	0	0	2	0.00441	0.00441	0.00441	~	0.00442	0.004410	-0.000004	0.004410
73	2	0	1	0	1	1	0	0	0	2	0.00181	0.00181	0.00181	~	0.00179	0.001798	-0.000001	0.001810
74	2	0	1	0	1	2	0	0	0	2	0.00049	0.00049	0.00049	~	0.00047	0.000483	0.000000	0.000480
75	2	0	1	0	1	3	0	0	0	0	0.00000	0.00000	0.00000	~	0.00000	0.000024	0.000000	0.000000
76	2	0	1	1	-1	-1	-1	0	0	0	0.00000	0.00000	0.00000	~	0.00000	0.000033	0.000000	0.000000
77	2	0	1	1	-1	0	-1	0	0	2	0.00042	0.00042	0.00042	~	0.00043	0.000426	0.000000	0.000420
78	2	0	1	1	-1	1	-1	0	0	0	0.00000	0.00000	0.00000	~	0.00000	0.000017	0.000000	0.000000
79	3	0	1	1	0	0	-1	0	0	1	0.00000	0.00000	0.00000	~	0.00000	0.000009	0.000000	0.000000
80	2	0	1	1	0	0	0	0	0	0	0.00000	0.00000	0.00000	~	0.00000	0.000027	0.000000	0.000000
81	2	0	1	1	0	1	0	0	0	0	0.00000	0.00000	0.00000	~	0.00000	0.000011	0.000000	0.000000
82	2	0	1	1	1	0	-1	0	0	2	0.00000	0.00000	0.00000	~	0.00000	0.000015	0.000000	0.000000
83	2	0	1	1	1	1	-1	0	0	2	0.00000	0.00000	0.00000	~	0.00000	0.000009	0.000000	0.000000
84	2	0	1	2	-1	0	0	0	0	2	0.00115	0.00115	0.00115	~	0.00116	0.001148	-0.000001	0.001150
85	2	0	1	2	-1	1	0	0	0	2	0.00059	0.00059	0.00056	~	0.00058	0.000574	0.000000	0.000580
86	2	0	1	2	-1	2	0	0	0	2	0.00012	0.00009	0.00009	~	0.00000	0.000103	0.000000	0.000100
87	3	0	1	2	0	1	0	0	0	1	0.00000	0.00000	0.00000	~	0.00000	0.000007	0.000000	0.000000
88	3	0	1	2	0	2	0	0	0	1	0.00000	0.00000	0.00000	~	0.00000	0.000004	0.000000	0.000000
89	2	0	1	3	-1	0	-1	0	0	2	0.00005	0.00005	0.00005	~	0.00000	0.000055	0.000000	0.000060
90	2	0	1	3	-1	1	-1	0	0	2	0.00000	0.00000	0.00000	~	0.00000	0.000026	0.000000	0.000000
91	2	0	2	-5	2	0	1	0	0	0	0.00000	0.00000	0.00000	~	0.00000	0.000022	0.000000	0.000000
92	2	0	2	-4	0	-1	0	0	0	2	0.00000	0.00000	0.00000	~	0.00000	0.000025	0.000000	0.000000
93	2	0	2	-4	0	0	0	0	0	2	0.00000	0.00000	0.00000	~	0.00000	0.000000	0.000000	0.000040
94	2	0	2	-4	0	0	2	0	0	0	0.00000	0.00000	0.00000	~	0.00000	0.000041	0.000000	0.000000
95	2	0	2	-4	2	-1	0	0	0	2	0.00000	0.00000	0.00000	~	0.00000	0.000018	0.000000	0.000000
96	2	0	2	-4	2	0	0	0	0	0	0.00026	0.00026	0.00026	~	0.00026	0.000257	0.000000	0.000260
97	2	0	2	-4	2	1	0	0	0	2	0.00000	0.00000	0.00000	~	0.00000	0.000017	0.000000	0.000000
98	2	0	2	-3	0	-1	1	0	0	0	0.00000	0.00000	0.00000	~	0.00000	0.000023	0.000000	0.000000
99	2	0	2	-3	0	0	1	0	0	0	0.00092	0.00092	0.00089	~	0.00091	0.000902	-0.000001	0.000910
100	2	0	2	-3	0	1	1	0	0	2	0.00005	0.00005	0.00005	~	0.00000	0.000057	0.000000	0.000060
101	2	0	2	-3	1	0	0	0	0	2	0.00000	0.00000	0.00000	~	0.00000	0.000022	0.000000	0.000000
102	3	0	2	-3	1	0	1	0	0	-1	0.00000	0.00000	0.00000	~	0.00000	0.000007	0.000000	0.000000
103	2	0	2	-2	-2	-1	0	0	0	2	0.00000	0.00000	0.00000	~	0.00000	0.000013	0.000000	0.000000
104	3	0	2	-2	-1	0	0	0	0	1	0.00000	0.00000	0.00000	~	0.00000	0.000007	0.000000	0.000000
105	2	0	2	-2	0	-2	0	0	0	0	0.00000	0.00000	0.00000	~	0.00000	0.000029	0.000000	0.000000
106	2	0	2	-2	0	-1	0	0	0	0	0.00099	0.00099	0.00099	~	0.00098	0.000977	0.000000	0.000980
107	2	0	2	-2	0	0	0	0	0	0	0.01368	0.01368	0.01368	MSF	0.01370	0.013695	0.000004	0.013700
108	2	0	2	-2	0	1	0	0	0	2	0.00087	0.00087	0.00089	~	0.00088	0.000879	0.000000	0.000890
109	3	0	2	-2	1	-1	0	0	0	1	0.00000	0.00000	0.00000	~	0.00000	0.000008	0.000000	0.000000
110	2	0	2	-2	0	2	0	0	0	0	0.00000	0.00000	0.00000	~	0.00000	0.000010	0.000000	0.000000
