2441317.50000	42.184
2441499.50000	43.184
2441683.50000	44.184
2442048.50000	45.184
2442413.50000	46.184
2442778.50000	47.184
2443144.50000	48.184
2443509.50000	49.184
2443874.50000	50.184
2444239.50000	51.184
2444786.50000	52.184
2445151.50000	53.184
2445516.50000	54.184
2446247.50000	55.184
2447161.50000	56.184
2447892.50000	57.184
2448257.50000	58.184
2448804.50000	59.184
2449169.50000	60.184
2449533.50000	61.184
2450083.50000	62.184
2450629.50000	63.184
2451178.50000	64.184
2453735.50000	65.184
