1	285	LONG	1.1500	0.0000
286	428	Q1	1.1523	-0.0900
429	488	O1	1.1503	0.0400
489	537	M1	1.1434	0.5290
538	592	P1K1	1.1352	0.2560
593	634	J1	1.1496	-1.6760
635	739	OO1	1.1456	0.8600
740	839	2N2	1.1585	4.4470
840	890	N2	1.1697	1.1800
891	947	M2	1.1751	0.8500
948	987	L2	1.1899	1.5590
988	1121	S2K2	1.1844	0.6590
1122	1204	M3	1.0701	0.0000
1205	1214	M4	1.0200	0.0000
