# Dziennik referencyjny
# name 		nazwa instrumentu
# stala 	zawiera informacje czy instrument
#		korzysta z tablic referencyjnych
# value		wartosc stalej
# Miedzy kluczem a znakiem : nie moze byc zadnych
# dodatkowych znakow w tym bia³ych znakow

@name: LCR-G-12
@value: null

0	0.0000	1.05149
100	105.15	1.05119
200	210.27	1.05098
300	315.37	1.05089
400	420.45	1.05086
500	525.54	1.05090
600	630.63	1.05097
700	735.73	1.05109
800	840.84	1.05122
900	945.96	1.05138
1000	1051.10	1.05154
1100	1156.25	1.05172
1200	1261.42	1.05186
1300	1366.61	1.05200
1400	1471.81	1.05213
1500	1577.02	1.05225
1600	1682.25	1.05234
1700	1787.48	1.05244
1800	1892.72	1.05253
1900	1997.98	1.05263
2000	2103.24	1.05270
2100	2208.51	1.05278
2200	2313.79	1.05288
2300	2419.08	1.05295
2400	2524.37	1.05304
2500	2629.67	1.05312
2600	2734.99	1.05318
2700	2840.31	1.05326
2800	2945.63	1.05332
2900	3050.96	1.05338
3000	3156.30	1.05345
3100	3261.65	1.05351
3200	3367.00	1.05356
3300	3472.35	1.05362
3400	3577.72	1.05367
3500	3683.08	1.05369
3600	3788.45	1.05370
3700	3893.82	1.05372
3800	3999.19	1.05371
3900	4104.56	1.05369
4000	4209.93	1.05368
4100	4315.30	1.05368
4200	4420.67	1.05365
4300	4526.03	1.05363
4400	4631.40	1.05358
4500	4736.76	1.05353
4600	4842.11	1.05347
4700	4947.46	1.05337
4800	5052.79	1.05326
4900	5158.12	1.05321
5000	5263.44	1.05309
5100	5368.75	1.05295
5200	5474.04	1.05284
5300	5579.33	1.05270
5400	5684.60	1.05254
5500	5789.85	1.05238
5600	5895.09	1.05221
5700	6000.31	1.05199
5800	6105.51	1.05184
5900	6210.69	1.05162
6000	6315.86	1.05137
6100	6420.99	1.05110
6200	6526.10	1.05079
6300	6631.18	1.05050
6400	6736.23	1.05012
6500	6841.24	1.04973
6600	6946.22	1.04935
6700	7051.15	1.04889
6800	7156.04	1.04840
6900	7260.88	1.04784
7000	7365.66	1.00000
